text,label
cat severe blood loss roadside near school,CRITICAL
kitten cannot stand properly near market,HIGH
stray cat weak and not eating by highway,MEDIUM
dog cannot stand properly by highway,HIGH
bird weak and not eating at bus stand,MEDIUM
puppy minor wound seen at bus stand,MEDIUM
cow resting under tree near temple,LOW
stray cat severe blood loss roadside on road,CRITICAL
cat deep wound on body near market,HIGH
cat sleeping normally in colony,LOW
cat resting under tree at bus stand,LOW
cat broken leg crying at bus stand,HIGH
bird wing fracture injured near park,HIGH
cat roaming normally on road,LOW
street dog bleeding heavily after accident by highway,CRITICAL
street dog cannot stand properly near temple,HIGH
street dog weak and not eating in colony,MEDIUM
bird minor wound seen in colony,MEDIUM
street dog hit by car not moving at bus stand,CRITICAL
bird sleeping normally by highway,LOW
bird severe limp in pain near park,HIGH
bird small cut on paw near market,MEDIUM
dog sleeping normally near school,LOW
dog eating food calmly by highway,LOW
bird eating food calmly at bus stand,LOW
cat unable to breathe after trauma at bus stand,CRITICAL
stray cat wing fracture injured on road,HIGH
dog resting under tree in colony,LOW
street dog dehydrated and tired at bus stand,MEDIUM
bird dehydrated and tired near school,MEDIUM
bird severe blood loss roadside on road,CRITICAL
stray cat unable to breathe after trauma near school,CRITICAL
cat wing fracture injured near park,HIGH
cat unconscious after crash at bus stand,CRITICAL
cow minor wound seen near park,MEDIUM
dog sleeping normally on road,LOW
kitten roaming normally at bus stand,LOW
dog sleeping normally at bus stand,LOW
kitten broken leg crying near temple,HIGH
street dog unconscious after crash near temple,CRITICAL
dog eating food calmly at bus stand,LOW
puppy hit by car not moving near temple,CRITICAL
kitten wing fracture injured near school,HIGH
cow severe limp in pain at bus stand,HIGH
street dog bleeding heavily after accident on road,CRITICAL
bird cannot stand properly near park,HIGH
puppy severe blood loss roadside near park,CRITICAL
cow sleeping normally by highway,LOW
cat unconscious after crash near temple,CRITICAL
stray cat minor wound seen near market,MEDIUM
cat cannot stand properly near park,HIGH
dog minor wound seen near school,MEDIUM
cat sleeping normally near school,LOW
dog small cut on paw near school,MEDIUM
street dog roaming normally in colony,LOW
bird unconscious after crash near temple,CRITICAL
puppy eating food calmly near school,LOW
cow eating food calmly near market,LOW
stray cat wing fracture injured near school,HIGH
kitten wing fracture injured in colony,HIGH
stray cat unconscious after crash at bus stand,CRITICAL
street dog dehydrated and tired by highway,MEDIUM
dog minor wound seen near temple,MEDIUM
bird small cut on paw in colony,MEDIUM
puppy deep wound on body near school,HIGH
stray cat wing fracture injured on road,HIGH
cow minor wound seen near park,MEDIUM
cow broken leg crying near temple,HIGH
bird cannot stand properly near park,HIGH
stray cat deep wound on body near temple,HIGH
bird cannot stand properly near market,HIGH
kitten eating food calmly at bus stand,LOW
stray cat severe blood loss roadside near market,CRITICAL
stray cat wing fracture injured near school,HIGH
bird wing fracture injured near park,HIGH
stray cat hit by car not moving near park,CRITICAL
kitten deep wound on body near market,HIGH
cow walking fine near market,LOW
dog roaming normally near school,LOW
stray cat unconscious after crash in colony,CRITICAL
stray cat roaming normally near school,LOW
cow walking fine on road,LOW
stray cat bleeding heavily after accident on road,CRITICAL
cat small cut on paw at bus stand,MEDIUM
street dog eating food calmly near school,LOW
cow severe limp in pain on road,HIGH
cat wing fracture injured at bus stand,HIGH
cow hit by car not moving near temple,CRITICAL
bird bleeding heavily after accident near park,CRITICAL
cat resting under tree near temple,LOW
street dog severe limp in pain at bus stand,HIGH
cow minor wound seen by highway,MEDIUM
dog wing fracture injured by highway,HIGH
kitten severe blood loss roadside in colony,CRITICAL
dog severe blood loss roadside near park,CRITICAL
stray cat cannot stand properly near market,HIGH
dog sleeping normally by highway,LOW
street dog resting under tree near park,LOW
stray cat walking fine in colony,LOW
kitten severe limp in pain near park,HIGH
bird small cut on paw at bus stand,MEDIUM
stray cat minor wound seen near school,MEDIUM
street dog eating food calmly at bus stand,LOW
kitten walking fine on road,LOW
cat small cut on paw near temple,MEDIUM
bird small cut on paw on road,MEDIUM
puppy walking fine near temple,LOW
dog small cut on paw near school,MEDIUM
cow cannot stand properly in colony,HIGH
dog broken leg crying by highway,HIGH
stray cat walking fine near school,LOW
street dog hit by car not moving on road,CRITICAL
puppy unconscious after crash on road,CRITICAL
street dog cannot stand properly near temple,HIGH
kitten resting under tree near park,LOW
puppy severe blood loss roadside by highway,CRITICAL
cat walking fine on road,LOW
cat bleeding heavily after accident in colony,CRITICAL
