text,location
dog weak not eating near School Road,School Road
injured cat sleeping normally at Market Area,Main Chowk
dog hit by car outside Market Area,School Road
injured stray cat deep wound at Temple Road,Hospital Lane
injured stray cat wing injury at School Road,Railway Side
stray bird hit by car around Bus Stand,Colony Gate
bird seen broken leg by School Road,Park Area
cat wing injury near Market Area,Park Area
bird seen hit by car by Railway Side,Hospital Lane
kitten bleeding near Hospital Lane,Highway Bridge
stray goat deep wound around School Road,Market Area
cow weak not eating near Market Area,School Road
kitten weak not eating near Railway Side,Park Area
injured goat unable to move at School Road,Highway Bridge
puppy sleeping normally near School Road,Bus Stand
kitten weak not eating outside Hospital Lane,School Road
dog seen small cut by Temple Road,Park Area
bird bleeding outside School Road,Main Chowk
cow seen limping by Colony Gate,Railway Side
injured bird broken leg at School Road,Hospital Lane
stray bird deep wound around Colony Gate,Main Chowk
goat small cut outside Bus Stand,Hospital Lane
cat hit by car outside Market Area,Bus Stand
injured kitten deep wound at Market Area,Colony Gate
street dog sleeping normally outside Highway Bridge,Hospital Lane
cat sleeping normally near Highway Bridge,Park Area
bird wing injury near Bus Stand,Railway Side
bird sleeping normally near Bus Stand,Hospital Lane
bird sleeping normally near Main Chowk,School Road
injured goat broken leg at Hospital Lane,Hospital Lane
goat limping near Temple Road,Market Area
bird seen small cut by Temple Road,School Road
stray cat bleeding around Railway Side,Market Area
stray puppy broken leg around Railway Side,Hospital Lane
injured bird sleeping normally at Main Chowk,Colony Gate
injured stray cat small cut at Highway Bridge,Colony Gate
street dog seen sleeping normally by Railway Side,Market Area
injured cow bleeding at Park Area,Temple Road
stray stray cat small cut around Main Chowk,School Road
cat hit by car near School Road,Market Area
goat bleeding near Hospital Lane,School Road
street dog seen small cut by Hospital Lane,Bus Stand
stray street dog small cut around Railway Side,Colony Gate
injured cat bleeding at Colony Gate,Park Area
kitten limping outside Temple Road,Market Area
kitten unable to move near Market Area,School Road
injured cow sleeping normally at Railway Side,Bus Stand
puppy weak not eating outside Railway Side,School Road
street dog sleeping normally near Market Area,Temple Road
stray dog bleeding around School Road,Bus Stand
street dog limping outside School Road,Colony Gate
puppy wing injury near Temple Road,Colony Gate
street dog seen weak not eating by Colony Gate,Hospital Lane
puppy small cut outside Highway Bridge,School Road
stray cat hit by car near Park Area,Temple Road
street dog sleeping normally near Hospital Lane,Bus Stand
stray cat bleeding near Bus Stand,Market Area
stray cat small cut around Colony Gate,Market Area
stray cow deep wound around Main Chowk,Temple Road
stray cat wing injury around Main Chowk,Main Chowk
stray goat weak not eating around School Road,Park Area
injured bird wing injury at Bus Stand,Highway Bridge
goat bleeding outside Temple Road,Railway Side
stray cat bleeding around Hospital Lane,School Road
stray bird broken leg around Park Area,Market Area
injured goat weak not eating at Bus Stand,Railway Side
stray bird deep wound around Hospital Lane,Temple Road
stray bird bleeding around Bus Stand,Highway Bridge
cat sleeping normally near Bus Stand,Highway Bridge
cow seen unable to move by School Road,Highway Bridge
stray street dog weak not eating around Temple Road,Market Area
bird hit by car outside Temple Road,Park Area
injured bird broken leg at Railway Side,Hospital Lane
stray cat hit by car outside Market Area,Market Area
injured stray cat hit by car at Park Area,Main Chowk
stray puppy wing injury around Bus Stand,Temple Road
goat seen hit by car by Park Area,School Road
injured cat unable to move at Hospital Lane,Colony Gate
stray puppy small cut around Bus Stand,Bus Stand
dog broken leg outside Park Area,Colony Gate
injured bird broken leg at Market Area,Colony Gate
street dog small cut near School Road,Railway Side
bird seen small cut by School Road,Temple Road
injured kitten unable to move at Highway Bridge,Market Area
goat seen sleeping normally by Colony Gate,Hospital Lane
dog seen bleeding by Highway Bridge,Bus Stand
stray bird hit by car around Market Area,Main Chowk
goat unable to move outside Colony Gate,Main Chowk
stray cat wing injury around Main Chowk,School Road
dog seen wing injury by Temple Road,Hospital Lane
stray cow unable to move around Colony Gate,Market Area
goat seen bleeding by Highway Bridge,Hospital Lane
kitten seen unable to move by Colony Gate,Highway Bridge
stray puppy small cut around Colony Gate,Colony Gate
injured bird wing injury at Hospital Lane,Temple Road
